Entity Name;Trade Name;License Number;Facility Type;Address;Address Zip Code;Location;Telephone Number;Number of Spaces
1840 PARKING LOT L.L.C.;;1340629;Parking Lot;"1840 HARRISON AVENUE
BRONX, NY 10453";10453;40.8512105263,-73.9132972791;3473867616;12
101 WEST END PARKING LLC;;1061198;Parking Garage;"101 END AVENUE
NEW YORK, NY 10023";10023;40.5634587515,-74.1786909516;2126869800;166
101 CAR PARK LLC;;1022575;Parking Garage;"101 23 STREET
NEW YORK, NY 10011";10011;40.7430586176,-73.9931653381;2122216111;140
CENTRAL PARKING SYSTEM OF NEW YORK INC;;1085596;Parking Lot;"415 35 STREET
NEW YORK, NY 10001";10001;40.7546063281,-73.9970337581;6466741888;52
METROPOLITAN PARKING GROUP LLC;;1177630;Parking Garage;"4172 BROADWAY
NEW YORK, NY 10033";10033;40.8475564252,-73.938009504;2124903460;398
LTG PARKING CORP;;901088;Parking Garage;"150 END AVENUE
NEW YORK, NY 10023";10023;40.5633526992,-74.1787432785;2129999999;163
DIAMOND PARKING CORP;;1157668;Parking Garage;"67 77 LAIGHT STREET
NEW YORK, NY 10013";10013;40.7212421888,-74.0088890002;9736228888;23
K PARK GROUP LLC;;1186413;Parking Lot;"680 12 AVENUE
NEW YORK, NY 10019";10019;40.7669227769,-73.9964746075;9999999999;170
KINNEY PARKING SYSTEM, INC;CENTRAL PARKING SYSTEM;1137171;Parking Garage;"38 42 WEST 46 STREET
NEW YORK, NY 10036";10036;40.7593468272,-73.9898605544;2126296602;225
110 EAST 16TH STREET ASSOCIATES LLC;;1135061;Parking Garage;"110 16 STREET
NEW YORK, NY 10003";10003;40.7356660553,-73.9887743272;2126869800;275
IMPERIAL PARKING (US) INC;IMPARK;1146456;Parking Garage;"750 6 AVENUE
NEW YORK, NY 10010";10010;40.7441789999,-73.9918249868;2129378660;73
SAFEWAY PARKING CORP.;;888537;Parking Garage;"345 86 STREET
MANHATTAN, NY 10028";10028;40.7774459992,-73.9506406805;2124109609;56
ARH PARKING INC;;1283007;Parking Garage;"3463 3 AVENUE
BRONX, NY 10456";10456;40.8297031523,-73.906505499;7186845803;55
ALLIANCE E 69TH PARKING LLC;;1300930;Parking Garage;"301 69 STREET
NEW YORK, NY 10021";10021;40.7667197802,-73.9594497552;2125810535;40
A&C PARKING CORP.;;1249729;Parking Lot;"537 137 STREET
BRONX, NY 10454";10454;40.8064666825,-73.9186908788;7189932782;30
100 RIVERSIDE PARKING LLC;;1356563;Parking Garage;"120 RIVERSIDE BOULEVARD
NEW YORK, NY 10069";10069;40.7765190935,-73.9893284124;2126869800;140
LTG PARKING CORP;;901086;Parking Garage;"185 END AVENUE
NEW YORK, NY 10023";10023;40.5632924131,-74.1786586081;2129999999;411
J&D SERVICES INC;;922831;Parking Lot;"430 WESTCHESTER AVENUE
BRONX, NY 10455";10455;40.8163758299,-73.915683064;7185478463;74
LAFAYETTE STREET PARKING GROUP LLC;;1307153;Parking Lot;"358 LAFAYETTE STREET
NEW YORK, NY 10012";10012;40.7268438414,-73.9939567415;5164877100;25
REX PARKING CORP;;429832;Parking Lot;"532 53 STREET
NEW YORK, NY 10019";10019;40.7670874515,-73.9917332051;2127571343;78
FIH ENTERPRISE INC;;1341969;Parking Lot;"1475 MCCOMBS ROAD
BRONX, NY 10452";10452;40.842063083,-73.9180021559;9999999999;99
79-80 GARAGE CORP;;368146;Parking Garage;"79 11 41 AVENUE
ELMHURST, NY 11373";11373;40.7387104026,-73.8783511552;7187250413;72
200 E. 70 GARAGE CORP.;;1251085;Parking Garage;"201 69 STREET
NEW YORK, NY 10021";10021;40.767691048,-73.9617250399;2127367171;72
EAST 28TH STREET GARAGE CORP;;1032982;Parking Garage;"201 28 STREET
NEW YORK, NY 10016";10016;40.741976245,-73.9807935063;2127367171;61
PACE PARKING LLC;;1179983;Parking Garage;"990 996 6 AVENUE
NEW YORK, NY 10018";10018;40.7568407746,-73.9966914998;2126869800;120
CENTRAL PARKING SYSTEM OF NEW YORK, INC;;1323991;Parking Garage;"40 57 STREET
NEW YORK, NY 10019";10019;40.7634909859,-73.9752845476;2125025490;140
UNION ST. PARKING, INC.;;1346393;Parking Garage;"38 19 UNION STREET
FLUSHING, NY 11354";11354;40.7686202206,-73.8271902807;5165893058;46
SALEM PARKING LLC;;1109612;Parking Lot;"497 WEST STREET
NEW YORK, NY 10014";10014;40.7380752534,-74.0098234229;2126869800;150
OXFORD PARKING CORP;;906120;Parking Garage;"333 49 STREET
MANHATTAN, NY 10017";10017;40.7539288728,-73.9681620001;2122493344;51
STATE-PEARL GARAGE INC;;369956;Parking Garage;"1 BATTERY PARK PLAZA
NEW YORK, NY 10004";10004;40.6888278253,-74.0191125058;2124072516;150
ELEVENTH AVENUE GARAGE, CORP.;;1345891;Parking Garage;"314 11 AVENUE
NEW YORK, NY 10001";10001;40.7530860583,-74.003939216;2127367171;181
PARK 139TH, LLC;;1312579;Parking Garage;"34 139 STREET
NEW YORK, NY 10037";10037;40.8151969763,-73.935463624;2122340855;72
COMFORT PARK LLC;;953176;Parking Garage;"301 ELIZABETH STREET
NEW YORK, NY 10012";10012;40.724541711,-73.993449763;2126869800;39
328 WEST 39 STREET PARKING, LLC;;1004393;Parking Lot;"328 39 STREET
NEW YORK, NY 10018";10018;40.7556651231,-73.992051053;2126869800;70
RAPID EAST 87TH CORP;;1117868;Parking Garage;"55 87 STREET
NEW YORK, NY 10128";10128;40.7812258446,-73.9575881586;2128314818;57
GM PARKING GROUP INC;;1317521;Parking Garage;"2990 JEROME AVENUE
BRONX, NY 10468";10468;40.8734921086,-73.8892874204;7189332044;120
RIVERBAY CORP;;695804;Parking Garage;"2099 BARTOW AVENUE
BRONX, NY 10475";10475;40.8696138215,-73.8263431749;7183203391;1361
250 PARKING SERVICES, LLC;LAZ PARKING;1191160;Parking Garage;"250 39 STREET
NEW YORK, NY 10016";10016;40.7482527588,-73.974488783;2122652239;35
WEST 64 STREET LLC;;1198597;Parking Garage;"1930 BROADWAY
NEW YORK, NY 10023";10023;40.7726475714,-73.9820315083;2125358670;150
T R PARKING STATION INC;;816312;Parking Lot;"31 73 31 STREET
ASTORIA, NY 11106";11106;40.76169979,-73.931663253;7187213032;175
EZ PARK EAST INC;;1157097;Parking Lot;"1845 65 PARK AVENUE
NEW YORK, NY 10035";10035;40.7938170354,-73.9193175002;2122229745;275
MY NEW PARKING, INC.;;1301644;Parking Lot;"1600 SEDGWICK AVENUE
BRONX, NY 10453";10453;40.8480916501,-73.924136453;3475388602;175
SLATE PARKING CORP;;427552;Parking Garage;"329 21 STREET
NEW YORK, NY 10010";10010;40.7359449804,-73.9802960398;2126296602;180
79-80 GARAGE CORP;;368148;Parking Garage;"80 15 41 AVENUE
ELMHURST, NY 11373";11373;40.7387104026,-73.8783511552;7187250413;98
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;1215113;Parking Garage;"500 5TH AVENUE
BROOKLYN, NY 11215";11215;40.6673595218,-73.9878597585;7183698185;530
TUNNEL PARTNERS, L.L.C.;;1307336;Parking Garage;"300 34 STREET
NEW YORK, NY 10016";10016;40.7444609237,-73.9752074841;2124316016;148
STANDARD PARKING CORPORATION;;1345530;Parking Garage;"61 35 JUNCTION BOULEVARD
REGO PARK, NY 11374";11374;40.726464917,-73.8614808476;7188974833;1356
WH PARKING MGMT, LLC;;1344944;Parking Garage;"4320 BROADWAY
NEW YORK, NY 10033";10033;40.8523442306,-73.9346284672;2127957275;375
SYLVAN ELM GARAGE LLC;;1280463;Parking Garage;"57 10 JUNCTION BOULEVARD
ELMHURST, NY 11373";11373;40.7387104026,-73.8783511552;7185759440;22
CASTLE HILL DEVELOPERS CORP;;1243603;Parking Lot;"2100 WESTCHESTER AVENUE
BRONX, NY 10462";10462;40.8338548181,-73.8546391251;7185910071;50
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;994675;Parking Lot;"250 50 STREET
NEW YORK, NY 10019";10019;40.761838433,-73.9851174585;2126296602;120
CHAMPION TRIBECA LLC;;1089680;Parking Lot;"411 413
NEW YORK, NY 10013";10013;40.7212421888,-74.0088890002;2123085959;60
95 WORTH LLC;;1039043;Parking Garage;"336 BROADWAY
NEW YORK, NY 10013";10013;40.7164656652,-74.0043618974;2126869800;114
NEW YORK SKYPORTS INC;;1192341;Parking Garage;"23 RIVER DRIVE
NEW YORK, NY 10010";10010;40.7125125307,-73.9779895854;2125667081;515
PROUD PARKING LLC;;801652;Parking Garage;"5 22 STREET
NEW YORK, NY 10010";10010;40.7405315227,-73.9892353008;2126869800;86
SLOPE CAR PARK, INC;;974656;Parking Garage;"429 12 STREET
BROOKLYN, NY 11215";11215;40.6646775282,-73.9821540402;2122216111;149
L&R AUTO PARKS, INC & ENTERPRISE PARKING COMPANY LLC;FIVE STAR PARKING;1210861;Parking Garage;"2500 FDR DRIVE
NEW YORK, NY 10010";10010;40.7404879955,-73.9725727522;2125329682;735
SHOW BIZ PARKING LIMITED LIABILITY COMPANY;;952279;Parking Lot;"251 57 WEST 45 STREET
NEW YORK, NY 10036";10036;40.7593468272,-73.9898605544;2123085959;256
PARADISE PARKING CORP;;1199449;Parking Lot;"1101 WEBSTER AVENUE
BRONX, NY 10456";10456;40.8292020637,-73.9114682037;7185381000;100
KINNEY PARKING SYSTEM, INC;CENTRAL PARKING SYSTEM;1196462;Parking Garage;"1257 3RD AVENUE
NEW YORK, NY 10021";10021;40.7699775714,-73.9604054649;2125025490;65
525-535 GARAGE CORP.;;1246280;Parking Garage;"535 86 STREET
NEW YORK, NY 10028";10028;40.7752723327,-73.9455642231;2127367171;50
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;1290964;Parking Garage;"100 93 STREET
NEW YORK, NY 10025";10025;40.7909300462,-73.9689841113;2125025490;127
125 VERTICAL PARKING GROUP, LLC;;1251237;Parking Garage;"123 129 BAXTER STREET
NEW YORK, NY 10013";10013;40.7212421888,-74.0088890002;2129562280;68
CENTRAL PARKING SYSTEM OF NEW YORK INC;;1346796;Parking Garage;"74 DEKALB AVENUE
BROOKLYN, NY 11201";11201;40.6898537903,-73.9799780723;2125025490;101
STEWART HOUSE CAR PARK, INC;GGMC;945780;Parking Garage;"70 10 STREET
NEW YORK, NY 10003";10003;40.7314472269,-73.9908491773;2129966363;255
JO-DASH PARKING LLC;;731368;Parking Garage;"488 504 3 AVENUE
NEW YORK, NY 10016";10016;40.74524297,-73.9782329859;2126869800;55
CENTRAL PARKING SYSTEM OF NEW YORK INC;;1338540;Parking Garage;"587 89 AVENUE
NEW YORK, NY 10011";10011;40.7447152667,-74.0046000003;2125025490;42
119 PARKING LOT CORP;;1360731;Parking Lot;"1414 24 CROMWELL AVE
BRONX, NY 10452";10452;40.8377242634,-73.9233322114;;70
IMPARK 92 LLC;;1143750;Parking Garage;"101 111 WEST 91 STREET
NEW YORK, NY 10024";10024;40.7836255682,-73.9665390006;2129378660;106
ST JOSEPH'S COLLEGE NEW YORK;;365621;Parking Lot;"222 VANDERBILT AVENUE
BROOKLYN, NY 11205";11205;40.6907365146,-73.9693960397;7186366820;45
G.F. PARKING, INC.;;1336405;Parking Lot;"65 AUDUBON AVENUE
NEW YORK, NY 10032";10032;40.8407227382,-73.9381535386;2019869816;22
KINNEY PARKING SYSTEM, INC;CENTRAL PARKING SYSTEM;1223081;Parking Garage;"1975 EASTCHESTER ROAD
BRONX, NY 10461";10461;40.852636613,-73.843464665;7184307021;691
PEAK TIME PARKING INC.;;1220723;Garage - Parking Lot Combo;"1730 JEROME AVENUE
BRONX, NY 10453";10453;40.8472142372,-73.9126750674;2129424295;33
IMPERIAL PARKING (US) INC;;1257424;Parking Garage;"279 AVENUE
NEW YORK, NY 10009";10009;40.726649359,-73.979111485;2129378660;320
684 WAREHOUSE CORP;;1231226;Parking Lot;"489 CANAL STREET
NEW YORK, NY 10013";10013;40.7240433214,-74.0082538519;5163695866;20
54TH & 2ND PARKING LLC;;1196302;Garage - Parking Lot Combo;"300 55 STREET
NEW YORK, NY 10022";10022;40.7579424638,-73.9661862935;2126869800;25
INWOOD NY GARAGE, LLC;;1314513;Parking Garage;"4501 BROADWAY
NEW YORK, NY 10040";10040;40.8578626541,-73.9320914157;6467969466;117
PARK WELL LLC;;1184053;Parking Lot;"721 AMSTERDAM AVENUE
NEW YORK, NY 10025";10025;40.7933910168,-73.9708156265;2126869800;185
NYULMC A GARAGE CORP.;;1340237;Parking Garage;"530 1 AVENUE
NEW YORK, NY 10016";10016;40.7428387328,-73.974229267;2127367171;130
EMBASSY PARKING LLC;;1196473;Parking Garage;"120 81 STREET
NEW YORK, NY 10028";10028;40.7765455043,-73.958661593;2128887400;94
650 PARKING CORP;;1001512;Parking Garage;"650 PARK AVENUE
NEW YORK, NY 10021";10021;40.7686135055,-73.9658168988;2127367171;79
CENTRAL PARKING SYSTEM OF NEW YORK INC;;1338536;Parking Garage;"545 116 STREET
NEW YORK, NY 10029";10029;40.7948040714,-73.9324592699;2125025490;1186
CROWNE GARAGE LLC;;1193002;Parking Garage;"1601 BROADWAY
NEW YORK, NY 10036";10036;40.7600962738,-73.9848623086;2128322066;159
HJ PARKING LLC.;;1130762;Parking Garage;"301 9 WEST 51 STREET
NEW YORK, NY 10019";10019;40.7676116472,-73.9918055002;2126869800;226
ALLIANCE IMPALA PARKING LLC;;1286774;Parking Garage;"404 76 STREET
NEW YORK, NY 10021";10021;40.770315373,-73.9540011794;2125810535;58
AIR PARK LGA INC;;881123;Parking Lot;"99 11 DITMARS BOULEVARD
EAST ELMHURST, NY 11369";11369;40.7634132737,-73.8723788987;7188988400;139
GARSCH GARAGE CORP.;;1335617;Parking Garage;"567 AMSTERDAM AVENUE
NEW YORK, NY 10024";10024;40.7886902174,-73.9742885687;2127246927;150
UBO REALTY CORP;;429855;Parking Lot;"327 9 STREET
NEW YORK, NY 10003";10003;40.728929649,-73.9865474509;2126745340;10
92ND REALTY LLC;;1070436;Parking Garage;"441 92 STREET
NEW YORK, NY 10128";10128;40.7803345577,-73.9456553506;2128609627;137
K & F PARKING CORP.;;1348505;Parking Lot;"3604 JEROME AVENUE
BRONX, NY 10456";10456;40.8854060605,-73.8791370227;6464047585;125
EDISON NY PARKING LLC;;926757;Parking Lot;"174 CENTRE STREET
NEW YORK, NY 10013";10013;40.7186456956,-73.9993829308;2124636000;93
CHINATOWN PARKING CORP;;924211;Parking Lot;"88 WALKER STREET
NEW YORK, NY 10013";10013;40.7180844449,-74.0013131957;2122748302;35
RMG PARKING CORP;CAR PARK;904395;Parking Lot;"610 46 STREET
NEW YORK, NY 10036";10036;40.7634866463,-73.9967767339;2125821951;185
ZITRO PARKING, CORP;;1185040;Parking Lot;"562 182 STREET
NEW YORK, NY 10033";10033;40.8494304273,-73.9321823113;2127408039;31
CHAMPION PARKING 9 LLC;;1306862;Parking Garage;"220 9 STREET
NEW YORK, NY 10003";10003;40.7296227465,-73.9882550398;2123035959;175
CENTRAL PARKING SYSTEM OF NEW YORK INC;;896827;Parking Garage;"75 PARK PLACE
NEW YORK, NY 10007";10007;40.7139352789,-74.0106771708;2125649199;100
CROTONA PARKWAY GARAGE INC;;1157522;Parking Lot;"1981 85 HONEYWELL AVENUE
BRONX, NY 10460";10460;40.843090348,-73.8786028251;7186206177;250
PROPARK AMERICA NEW YORK, LLC;;1213666;Parking Lot;"0 MARGINAL STREET
NEW YORK, NY 10038";10038;40.7103422107,-73.9829214616;9144786300;315
CENTRAL PARKING SYSTEM OF NEW YORK INC;;1060379;Parking Lot;"1500 UNIONPORT ROAD
BRONX, NY 10462";10462;40.8359784012,-73.8558188297;7188286820;515
STANDARD PARKING CORP.;;1235312;Parking Lot;"93 30 HORACE HARDING EXPRESSWAY
REGO PARK, NY 11374";11374;40.726464917,-73.8614808476;7188974833;150
TPEC 148 LLC;;1319642;Parking Garage;"234 240 WEST 148 STREET
NEW YORK, NY 10039";10039;40.8266819286,-73.9377709078;2122348883;110
CENTRAL PARKING SYSTEM OF NEW YORK INC;;1202769;Parking Garage;"200 RECTOR PLACE
NEW YORK, NY 10280";10280;40.7088484076,-74.0161969753;2125025490;134
KINNEY PARKING SYSTEM, INC.;CENTRAL PARKING SYSTEM;1205113;Parking Garage;"1133 6TH AVENUE
NEW YORK, NY 10036";10036;40.7558379837,-73.9833807144;2125025490;124
ALLIED AUSTIN CO LP;;928867;Parking Garage;"69 40 AUSTIN STREET
FOREST HILLS, NY 11375";11375;40.720707263,-73.8462842961;7185209872;125
475 PARKING LLC;;1039455;Parking Garage;"475 PARK AVENUE
NEW YORK, NY 10016";10016;40.7453938477,-73.9824212433;2126869800;150
QUIK PARK CENTRAL PARK LLC;;1303384;Parking Lot;"1880 BROADWAY
NEW YORK, NY 10023";10023;40.7703260616,-73.9820137449;2128322066;162
ABDULLAH, MUHAMMAD A;MAA PARKING COMPANY;1161319;Parking Garage;"1360 FULTON STREET
BROOKLYN, NY 11216";11216;40.6801828778,-73.9462087793;7186366959;149
ALLIANCE RIVERBANK PARKING LLC;;1286769;Parking Garage;"555 42 STREET
NEW YORK, NY 10036";10036;40.7606853294,-73.9979317448;2125810535;84
QUIK PARK BROADWAY GARAGE LLC;;1269177;Parking Garage;"225 251 WEST 56 STREET
NEW YORK, NY 10019";10019;40.7676116472,-73.9918055002;2128322066;146
CENTRAL PARKING SYSTEM OF NEWYORK INC;;965331;Garage - Parking Lot Combo;"209 90 23 AVENUE
QUEENS, NY 11360";11360;40.7807013344,-73.7822673369;2126296602;900
64TH WEST END PARKING LLC;;761016;Parking Garage;"110 END AVENUE
NEW YORK, NY 10023";10023;40.5634327162,-74.1787588373;2126869800;106
CENTRAL PARKING SYSTEM OF NEW YORK INC;;1357464;Parking Garage;"910 5 AVENUE
NEW YORK, NY 10021";10021;40.7726553056,-73.9668961416;2125025490;56
CIRCLE LINE SIGHTSEEING YACHTS INC;;369661;Parking Lot;"0 12 AVENUE
NEW YORK, NY 10036";10036;40.7625154497,-74.0003329347;2126308810;160
PROPARK AMERICA NEW YORK, LLC;;1265730;Parking Garage;"352 HICKS STREET
BROOKLYN, NY 11202";11202;40.6906717208,-73.9980628385;7187804925;430
PARK 15 WEST LLC;;1155053;Parking Garage;"422 430 WEST 15 STREET
NEW YORK, NY 10011";10011;40.7447152667,-74.0046000003;2125643199;374
CENTRAL PARKING SYSTEM OF NEW YORK, INC;;1346794;Parking Lot;"2300 FIFTH AVENUE
NEW YORK, NY 10037";10037;40.8161105461,-73.9352220197;2125025490;66
CHAMPION PARKING 76 ST LLC.;;1351985;Parking Garage;"205 76 STREET
NEW YORK, NY 10023";10023;40.7812906498,-73.9799086663;2123085959;58
CONNAUGHT TOWER CAR PARK INC;GGMC;763733;Parking Garage;"300 54 STREET
NEW YORK, NY 10022";10022;40.7573319642,-73.966689423;2129966363;73
QUIK PARK WEST 41ST STREET LLC;;1266247;Parking Garage;"601 41 STREET
NEW YORK, NY 10036";10036;40.7602131703,-73.9988410282;2128322066;194
QUIK PARK GARMENT LLC;;1192895;Parking Garage;"155 34 STREET
NEW YORK, NY 10016";10016;40.745972421,-73.9787042399;2128322066;66
KENNEE PARKING CORP;;427071;Parking Lot;"114 MULBERRY STREET
NEW YORK, NY 10013";10013;40.7176181406,-73.9982185828;2126435702;42
LEASE PARKING LOT INC.;;1249153;Parking Lot;"158 108 STREET
NEW YORK, NY 10029";10029;40.7934847265,-73.9452486117;2128606718;38
PLAZA 48 PARKING LLC;;1246951;Parking Garage;"326 336 EAST 49 STREET
NEW YORK, NY 10017";10017;40.7524565274,-73.9729764809;2126869800;29
SIFNOS REALTY CORP;;854269;Parking Lot;"40 08 CRESCENT STREET
LONG ISLND CITY, NY 11101";11101;40.7457024498,-73.9386690293;7189379050;12
8 EAST 83RD PARKING LLC;;1308706;Parking Garage;"8 83 STREET
NEW YORK, NY 10028";10028;40.7791753903,-73.9608886705;2125352890;48
RISING WOLF PARKING GARAGE, LLC;;966613;Garage - Parking Lot Combo;"336 338 EAST 9 STREET
NEW YORK, NY 10003";10003;40.7319439476,-73.9888721491;2124755858;48
CENTRAL PARKING SYSTEM OF NEW YORK INC;;961850;Parking Garage;"45 END AVENUE
NEW YORK, NY 10028";10028;40.5635696438,-74.178712514;2126296602;77
SHAHBAIN, HAMOOD A;TAIZ PARKING;1232901;Parking Lot;"1075 UNION STREET
BROOKLYN, NY 11225";11225;40.6696715179,-73.9576084215;7184675883;25
LET'S PARK CORP.;;910347;Parking Lot;"119 125 EAST 28 STREET
NEW YORK, NY 10016";10016;40.74524297,-73.9782329859;2124730135;125
C & S PARKING GARAGE, INC.;;1271797;Parking Lot;"1208 FRANKLIN AVENUE
BRONX, NY 10456";10456;40.8300808367,-73.9036640209;6465336409;32
FIELD LAGUARDIA ASSOCIATES INC;HOLIDAY INN CROWN PLAZA;904077;Garage - Parking Lot Combo;"104 04 DITMARS BOULEVARD
ELMHURST, NY 11369";11369;40.7634132737,-73.8723788987;7184576300;259
CHAMPION 58 LLC;;1059262;Parking Garage;"33 58 STREET
NEW YORK, NY 10019";10019;40.7641366578,-73.9746053721;2123085959;108
TAINO TOWERS GARAGE CORP;;1005064;Parking Lot;"221 122 STREET
NEW YORK, NY 10035";10035;40.8015787793,-73.936704003;2125670234;200
ESTRELLA, REINALDO;THE FAMILY PARKING;957524;Parking Lot;"1961 JEROME AVENUE
BRONX, NY 10453";10453;40.8517735032,-73.9092786447;7189012740;50
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;1175517;Parking Lot;"288 294 PEARL STREET
NEW YORK, NY 10038";10038;40.7093592919,-74.0030718624;2125025490;36
BUZZ PARKING I CORP;;1268889;Parking Lot;"246 254 GOLD STREET
BROOKLYN, NY 11201";11201;40.6946782588,-73.9899208684;718788006;29
THOMPSON ST. PARKING CORP;;889341;Parking Garage;"221 THOMPSON ST
NEW YORK, NY 10012";10012;40.7292450313,-73.9989659652;2126438631;235
PORTS AMERICA MANAGEMENT CORP.;;1278191;Parking Lot;"711 12 AVENUE
NEW YORK, NY 10019";10019;40.7643565911,-73.9987317741;2122465450;900
ELKO GARAGE INC;;1200887;Parking Garage;"312 46 STREET
NEW YORK, NY 10017";10017;40.752199061,-73.9700148366;2126444955;67
SWIFT PARKING LLC.;;368455;Parking Garage;"160 88 STREET
NEW YORK, NY 10128";10128;40.7807309392,-73.9545931385;2126869800;36
222 PARKING SERVICES, LLC;;1209360;Garage - Parking Lot Combo;"222 39 STREET
NEW YORK, NY 10016";10016;40.7484693505,-73.97501676;2122652239;86
IMPARK HSW LLC;;1126896;Parking Lot;"305 13 WEST 42 STREET
NEW YORK, NY 10036";10036;40.7593468272,-73.9898605544;2129378660;67
QUIK PARK 48TH STREET LLC;;1251117;Parking Garage;"300 04 EAST 48 STREET
NEW YORK, NY 10017";10017;40.7524565274,-73.9729764809;2128322066;51
KINNEY PARKING SYSTEM INC;CENTRAL PARKING SYSTEM;1204604;Parking Garage;"211 15 WEST 87 STREET
NEW YORK, NY 10024";10024;40.7836255682,-73.9665390006;2125025490;131
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;1281648;Parking Garage;"2201 NOSTRAND AVENUE
BROOKLYN, NY 11210";11210;40.6310219732,-73.9474617544;2125025490;502
KINNEY PARKING SYSTEM INC;CENTRAL PARKING SYSTEM;1137946;Parking Garage;"153 161 WEST 48 STREET
NEW YORK, NY 10036";10036;40.7593468272,-73.9898605544;2126296602;213
BROADWAY & 64TH PARKING LLC.;;1213869;Parking Garage;"1900 1916
NEW YORK, NY 10023";10023;40.7745361382,-73.9799433561;2126869800;400
171 EAST 84TH STREET NEWCO LLC;;1308491;Parking Garage;"167 84 STREET
NEW YORK, NY 10028";10028;40.7779173205,-73.9558611014;2126284550;75
NORTH CAROLINA LEASING LIMITED PARTNERSHIP.;;1277629;Parking Lot;"70 95 STREET
NEW YORK, NY 10025";10025;40.7918496797,-73.9672758884;9999999999;142
CREWS, BLANCHE;J & B CREWS PARKING LOT;918267;Parking Lot;"459 22 STREET
BROOKLYN, NY 11226";11226;40.6406693901,-73.9571919885;7189412033;20
PJ'S PARKING SERVICE CORP;PJ'S PARKING;835198;Parking Garage;"88 35 164 STREET
JAMAICA, NY 11432";11432;40.7131153545,-73.7928209998;7189492507;49
SKY PARKING CORP.;;981503;Parking Garage;"121 READE STREET
NEW YROK, NY 10013";10013;40.716006177,-74.0088342886;2127536116;89
LEXINGTON 58 PARKING LLC;;1298768;Parking Garage;"150 58 STREET
NEW YORK, NY 10022";10022;40.7614560273,-73.9683664631;2126869800;260
HINCAPIE, GIOVANNI;G H PARKING LOT;1150017;Parking Lot;"2120 CROTONA PARKWAY
BRONX, NY 10460";10460;40.846351689,-73.8836433598;7183293539;33
PINE-WATER GARAGE LLC;;469882;Parking Garage;"80 PINE STREET
NEW YORK, NY 10005";10005;40.7058266856,-74.0070778499;2124072516;178
ROMANO, ANTHONY S;;760927;Parking Lot;"2450 HOFFMAN STREET
BRONX, NY 10458";10458;40.8569073424,-73.8876556611;7183656204;25
WOLF, RAYMOND ET AL;25-27 BEEKMAN ST    ASSOCIATES;367147;Parking Garage;"25 BEEKMAN STREET
NEW YORK, NY 10038";10038;40.7108159869,-74.0060807231;2128661000;149
56-57 OPERATING CORP;;1257438;Parking Garage;"409 56 STREET
NEW YORK, NY 10019";10019;40.7673937409,-73.9865019571;2129299404;20
CABRINI GARAGE CORP;;1310284;Parking Garage;"900 190 STREET
NEW YORK, NY 10040";10040;40.8573084882,-73.9364361045;2127367171;79
GARDEN GARAGE, LLC;;1140970;Parking Lot;"253 29 STREET
NEW YORK, NY 10001";10001;40.7487423329,-73.9950359279;2128322066;25
RAINBOW PARKING CORP;;367503;Parking Garage;"300 71 STREET
NEW YORK, NY 10021";10021;40.768051106,-73.9587943917;2122493344;57
DEPENDABLE PARKING LLC;DEPENDABLE PARKING LLC;900653;Parking Garage;"230 55 STREET
NEW YORK, NY 10019";10019;40.7648365038,-73.9825122574;2126869800;195
CITYVIEW PLAZA LLC;;1324143;Parking Garage;"32 07 37 AVENUE
LONG ISLND CITY, NY 11101";11101;40.7457024498,-73.9386690293;7182670300;25
NORTH BRONX GARAGE INC;;1274433;Parking Garage;"1420 CROMWELL AVENUE
BRONX, NY 10452";10452;40.841386717,-73.9193555288;6464638129;70
CLIFF PARKING LLC;;1078641;Parking Garage;"99 JOHN STREET
NEW YORK, NY 10038";10038;40.7079528489,-74.0060002742;2126869800;87
MANHATTAN PARKING BORO CORP;;368732;Parking Garage;"40 CLINTON STREET
BKLYN, NY 11201";11201;40.6953753841,-73.9919319286;2127536116;50
EXPERT TRANSIT CORP;OPERA GARAGE;363809;Parking Garage;"524 HALSEY STREET
BROOKLYN, NY 11233";11233;40.6836687131,-73.9333994762;7185744900;200
STABLE CAR PARKING, INC.;;1213350;Parking Garage;"9201 4 AVENUE
BROOKLYN, NY 11209";11209;40.618310507,-74.0301557996;2129799815;178
SYLVAN KEW GARAGE LLC;;1227187;Parking Garage;"80 02 KEW GARDENS ROAD
QUEENS, NY 11415";11415;40.7082860751,-73.8285561216;7185759440;481
910 GARAGE CORP;;901734;Parking Lot;"910 2 AVENUE
NEW YORK, NY 10017";10017;40.7538914783,-73.9691947865;2122435900;42
PROPARK AMERICA NEW YORK LLC;;1272316;Parking Lot;"1919 BROOKHAVEN AVENUE
FAR ROCKAWAY, NY 11691";11691;40.5992860907,-73.7528141146;7183821401;80
BOYCE-EL, IRVINE;;364804;Parking Lot;"670 HALSEY STREET
BROOKLYN, NY 11233";11233;40.6843884742,-73.9271598517;7185748627;15
BIENVENIDO LLC;;1007823;Parking Garage;"1277 JEROME AVENUE
BRONX, NY 10452";10452;40.837640057,-73.9200614167;2122893800;96
